length,gc_content,au_content,actual,predicted,probability
21,0.6666666666666666,0.3333333333333333,1,1,0.5582142857142857
22,0.3181818181818182,0.6818181818181818,1,0,0.29433774558774545
21,0.6666666666666666,0.3333333333333333,0,1,0.5582142857142857
22,0.3181818181818182,0.6818181818181818,0,0,0.29433774558774545
25,0.64,0.36,1,0,0.24187301587301577
20,0.55,0.45,1,0,0.47498715092097443
22,0.5,0.5,0,0,0.45158079002965595
17,0.5882352941176471,0.4117647058823529,0,0,0.42070238095238094
23,0.6521739130434783,0.3478260869565217,1,0,0.34311327561327554
22,0.3636363636363636,0.6363636363636364,1,0,0.3736089830346303
23,0.6086956521739131,0.391304347826087,1,1,0.5653668831168832
19,0.5263157894736842,0.4736842105263157,0,0,0.37146389721389717
22,0.5,0.5,1,0,0.45158079002965595
22,0.4545454545454545,0.5454545454545454,0,1,0.5143740079198857
19,0.4736842105263157,0.5263157894736842,0,1,0.6091251803751802
22,0.5909090909090909,0.4090909090909091,1,1,0.6273244043538161
18,0.7222222222222222,0.2777777777777778,0,1,0.6830714285714283
21,0.5238095238095238,0.4761904761904761,1,0,0.4999156781657792
22,0.4090909090909091,0.5909090909090909,1,0,0.39163511570129217
21,0.4761904761904761,0.5238095238095238,1,0,0.25420634920634916
19,0.631578947368421,0.3684210526315789,0,0,0.33790476190476193
21,0.3809523809523809,0.6190476190476191,0,0,0.18019444444444438
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
24,0.4166666666666667,0.5833333333333334,0,0,0.3652142857142856
19,0.5263157894736842,0.4736842105263157,0,0,0.37146389721389717
20,0.6,0.4,1,1,0.6487301587301587
17,0.7647058823529411,0.2352941176470588,0,1,0.6643333333333332
21,0.7142857142857143,0.2857142857142857,1,0,0.47111904761904744
21,0.7142857142857143,0.2857142857142857,1,0,0.47111904761904744
18,0.3888888888888889,0.6111111111111112,0,0,0.3370238095238095
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
18,0.3888888888888889,0.6111111111111112,0,0,0.3370238095238095
23,0.6521739130434783,0.3478260869565217,0,0,0.34311327561327554
22,0.4090909090909091,0.5909090909090909,0,0,0.39163511570129217
21,0.3809523809523809,0.6190476190476191,1,0,0.18019444444444438
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
20,0.75,0.25,0,0,0.35892470111587743
21,0.5238095238095238,0.4761904761904761,0,0,0.4999156781657792
21,0.5714285714285714,0.4285714285714285,1,0,0.11538601104777571
23,0.4782608695652174,0.5217391304347826,0,0,0.40869099691158506
22,0.6363636363636364,0.3636363636363636,1,0,0.3280258001802118
22,0.5454545454545454,0.4545454545454545,1,0,0.46893594546895806
24,0.6666666666666666,0.3333333333333333,0,1,0.8093015873015872
23,0.6086956521739131,0.391304347826087,0,1,0.5653668831168832
25,0.52,0.48,0,1,0.8423253968253968
21,0.7142857142857143,0.2857142857142857,0,0,0.47111904761904744
